model,accuracy,walking_precision,walking_recall,walking_f1,macro_f1,n_folds
Random Forest,0.9369708372530574,0.9491525423728814,0.9198067632850242,0.9342492639842983,0.9368626627057897,1
XGBoost,0.9444967074317968,0.9481915933528837,0.9371980676328503,0.9426627793974732,0.9444398673650994,1
Gradient Boosting,0.9402634054562559,0.9477317554240631,0.9285024154589372,0.9380185456320156,0.9401849423575421,1
Hist Gradient Boosting,0.944967074317968,0.945631067961165,0.9410628019323671,0.9433414043583536,0.9449217309857612,1
Bagging,0.9388523047977423,0.9449360865290068,0.9285024154589372,0.9366471734892787,0.9387781321991848,1
Extra Trees,0.9270931326434619,0.9408817635270541,0.9072463768115943,0.9237579931136252,0.9269533543756499,1
SVM (RBF),0.9242709313264346,0.9405241935483871,0.9014492753623189,0.9205722742969906,0.9241063618675964,1
Linear Discriminant,0.9134524929444967,0.9355168884339816,0.8830917874396135,0.9085487077534792,0.913202925305311,1
SVM (Linear),0.9158043273753528,0.9349593495934959,0.8888888888888888,0.9113422486379396,0.9155905152728434,1
Ridge Classifier,0.9148635936030104,0.9348268839103869,0.8869565217391304,0.9102627664848786,0.9146392132200679,1
Nu-SVC,0.9139228598306679,0.9329268292682927,0.8869565217391304,0.9093610698365527,0.9137042698040803,1
Logistic Regression,0.9134524929444967,0.9311043566362716,0.8879227053140096,0.9090009891196835,0.9132448891786759,1
SGD Classifier,0.9148635936030104,0.9295774647887324,0.8927536231884058,0.9107934943321834,0.9146859959290247,1
MLP,0.9129821260583255,0.925,0.893719806763285,0.9090909090909091,0.9128224053799154,1
Gaussian NB,0.8767638758231421,0.9178378378378378,0.8202898550724638,0.8663265306122448,0.8760079424439933,1
KNN (k=11),0.9139228598306679,0.9168297455968689,0.9053140096618357,0.9110354885755956,0.9138320950850642,1
AdaBoost,0.9087488240827846,0.9134709931170109,0.8975845410628019,0.905458089668616,0.9086381357433989,1
KNN (k=5),0.9129821260583255,0.9134241245136187,0.9072463768115943,0.9103247697527872,0.9129056466397558,1
Quadratic Discriminant,0.8814675446848542,0.9031925849639547,0.8473429951690822,0.8743768693918246,0.8810887018374973,1
Decision Tree,0.9026340545625587,0.8988439306358381,0.9014492753623189,0.9001447178002895,0.902573506215427,1
Extra Tree,0.8800564440263405,0.8816046966731899,0.8705314009661835,0.8760330578512396,0.8799299685611551,1
Passive Aggressive,0.8179680150517403,0.8306122448979592,0.7864734299516908,0.8079404466501241,0.8174704468386964,1
