fold,held_out,model,accuracy,macro_f1,walking_precision,walking_recall,walking_f1
0,2_12,Logistic Regression,0.8297959183673469,0.8234356300037589,0.9411764705882353,0.6805555555555556,0.7899244332493702
0,2_12,Ridge Classifier,0.7355102040816327,0.7108114547517197,0.9329896907216495,0.4713541666666667,0.6262975778546713
0,2_12,SGD Classifier,0.7946938775510204,0.7821906983312451,0.9563994374120957,0.5902777777777778,0.7300053676865271
0,2_12,Passive Aggressive,0.8681632653061224,0.8661154846362296,0.9165829145728643,0.7916666666666666,0.8495575221238938
0,2_12,Linear Discriminant,0.7359183673469388,0.7111823440336373,0.9345955249569707,0.4713541666666667,0.6266589728793999
0,2_12,Quadratic Discriminant,0.789795918367347,0.7852879489830213,0.8377518557794273,0.6857638888888888,0.7541766109785203
0,2_12,SVM (RBF),0.76,0.7408500607309589,0.9462025316455697,0.5190972222222222,0.6704035874439462
0,2_12,SVM (Linear),0.8020408163265306,0.7918145310566467,0.9417218543046357,0.6171875,0.7456738332459361
0,2_12,Nu-SVC,0.7277551020408163,0.7006684518670877,0.9322638146167558,0.4539930555555556,0.6106246351430239
0,2_12,KNN (k=5),0.7253061224489796,0.7011161219651418,0.8985024958402662,0.46875,0.6160867084997148
0,2_12,KNN (k=11),0.7195918367346938,0.6910219872509741,0.9204339963833634,0.4418402777777778,0.5970674486803519
0,2_12,Decision Tree,0.7412244897959184,0.7405162212025294,0.7213675213675214,0.7326388888888888,0.726959517657192
0,2_12,Extra Tree,0.7191836734693877,0.7098245795245227,0.7703962703962703,0.5737847222222222,0.6577114427860696
0,2_12,Random Forest,0.7048979591836735,0.6718975485346572,0.9117082533589251,0.4123263888888889,0.5678421996413628
0,2_12,Extra Trees,0.7093877551020408,0.6750907637415895,0.9382470119521913,0.4088541666666667,0.5695284159613059
0,2_12,Gradient Boosting,0.7028571428571428,0.6747688772998304,0.8667820069204152,0.4348958333333333,0.5791907514450867
0,2_12,Hist Gradient Boosting,0.7220408163265306,0.6983201070566281,0.8854337152209493,0.4696180555555556,0.6137266023823029
0,2_12,AdaBoost,0.7175510204081633,0.687302650605254,0.9291044776119403,0.4322916666666667,0.590047393364929
0,2_12,Bagging,0.6579591836734694,0.6364447051007174,0.7236467236467237,0.4409722222222222,0.5480043149946062
0,2_12,Gaussian NB,0.7187755102040816,0.6896110489309643,0.923217550274223,0.4383680555555556,0.594467333725721
0,2_12,MLP,0.7685714285714286,0.7594533375145953,0.856272838002436,0.6102430555555556,0.7126203750633553
0,2_12,XGBoost,0.7097959183673469,0.681944539541253,0.8848167539267016,0.4401041666666667,0.5878260869565217
1,1_3,Logistic Regression,0.7603860679815359,0.7558731495503985,0.859122401847575,0.6236378876781223,0.7226809130645945
1,1_3,Ridge Classifier,0.8539655895929501,0.8528552975244152,0.8024337866857552,0.9396479463537301,0.8656370656370657
1,1_3,SGD Classifier,0.7893411665967268,0.788796634491798,0.823199251637044,0.7376362112321878,0.7780725022104332
