model,accuracy,walking_precision,walking_recall,walking_f1,macro_f1,n_folds
SVM (RBF),0.8077720469148199,0.918214129663305,0.6647050975362184,0.7588125286024042,0.7985692767521817,3
Extra Trees,0.7954681130475807,0.9127553931955088,0.6413689798279821,0.7337146029670757,0.782068161973206,3
Random Forest,0.7621445630629587,0.9088486868998937,0.5657118066100832,0.6705999018795001,0.7410146279643438,3
Nu-SVC,0.8024958962784549,0.9064531502747633,0.6630760104399928,0.7503566957454725,0.7919140411918519,3
AdaBoost,0.7816341806933261,0.9063268002936589,0.6148593875910606,0.7130267891999035,0.7670364226299297,3
Logistic Regression,0.8340736933616667,0.9047918849618454,0.7366635148943178,0.8075078178947671,0.8304330277464419,3
Gaussian NB,0.7994871637148414,0.9019621706558961,0.6622706254648358,0.746213802523329,0.7883312324760912,3
XGBoost,0.7691422956253814,0.896858823747063,0.5905953698810695,0.6908794814166478,0.7521739457772592,3
KNN (k=11),0.837353232290548,0.8967305445773405,0.7535324462983884,0.7969460068764876,0.8278001430790388,3
SGD Classifier,0.8293592306199584,0.8963975949966997,0.740343310346317,0.80311919246413,0.8249849192919525,3
Gradient Boosting,0.7780689625136509,0.8949606416734444,0.6116714765783495,0.7080655959020228,0.763376558830276,3
SVM (Linear),0.8316350849990782,0.8931640956656478,0.7460638383221773,0.8068596773446449,0.8278632190251116,3
Hist Gradient Boosting,0.770689688355607,0.8883053977299261,0.6004333328440324,0.6975063800065774,0.755358770166397,3
KNN (k=5),0.8362631020104966,0.887797249378087,0.7575180653247,0.8000724181248439,0.8281890762008355,3
Linear Discriminant,0.8313580839992744,0.8808909976907427,0.7694272788427664,0.798084915872125,0.8227595720722665,3
Ridge Classifier,0.8319132254644582,0.8798319585324833,0.7719644724560742,0.7988054364679714,0.8232993302714768,3
MLP,0.76937505482291,0.8689979200744262,0.6177592016398665,0.7069237191643314,0.7572600752631318,3
Quadratic Discriminant,0.8029022490046135,0.8615447664610608,0.7054611584551861,0.7692727129037994,0.7981330753274646,3
Bagging,0.7209750124761335,0.8227422437110136,0.5255757130631853,0.6140640953070461,0.6962646773790775,3
Passive Aggressive,0.7782734085089692,0.8059777651119883,0.6908065770132538,0.7362277411916865,0.7716151742007668,3
Decision Tree,0.6969807140701924,0.7529192400551624,0.5440338282358309,0.6091256030999405,0.6776305344944392,3
Extra Tree,0.7146856025579758,0.7419333883670931,0.611262151111624,0.6647637561683298,0.7074085578948376,3
